Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-01-04,,9,Rollout of release - Started rollout of 1.1.0 at 100%
2017-01-04 - 2019-02-18,2017-01-05,,46
2017-01-04 - 2019-02-18,2017-01-06,,49
2017-01-04 - 2019-02-18,2017-01-07,,54
2017-01-04 - 2019-02-18,2017-01-08,,63
2017-01-04 - 2019-02-18,2017-01-09,,84
2017-01-04 - 2019-02-18,2017-01-10,,87
2017-01-04 - 2019-02-18,2017-01-11,,95
2017-01-04 - 2019-02-18,2017-01-12,,94
2017-01-04 - 2019-02-18,2017-01-13,,98
2017-01-04 - 2019-02-18,2017-01-14,,103
2017-01-04 - 2019-02-18,2017-01-15,,108
2017-01-04 - 2019-02-18,2017-01-16,,116
2017-01-04 - 2019-02-18,2017-01-17,,120
2017-01-04 - 2019-02-18,2017-01-18,,123
2017-01-04 - 2019-02-18,2017-01-19,,127
2017-01-04 - 2019-02-18,2017-01-20,,132
2017-01-04 - 2019-02-18,2017-01-21,,138
2017-01-04 - 2019-02-18,2017-01-22,,145
2017-01-04 - 2019-02-18,2017-01-23,,207
2017-01-04 - 2019-02-18,2017-01-24,,230
2017-01-04 - 2019-02-18,2017-01-25,,241
2017-01-04 - 2019-02-18,2017-01-26,,249
2017-01-04 - 2019-02-18,2017-01-27,,265
2017-01-04 - 2019-02-18,2017-01-28,,272
2017-01-04 - 2019-02-18,2017-01-29,,275
2017-01-04 - 2019-02-18,2017-01-30,,281
2017-01-04 - 2019-02-18,2017-01-31,,297
2017-01-04 - 2019-02-18,2017-02-01,,317
2017-01-04 - 2019-02-18,2017-02-02,,331
2017-01-04 - 2019-02-18,2017-02-03,,343
2017-01-04 - 2019-02-18,2017-02-04,,353
2017-01-04 - 2019-02-18,2017-02-05,,374
2017-01-04 - 2019-02-18,2017-02-06,,378
2017-01-04 - 2019-02-18,2017-02-07,,400
2017-01-04 - 2019-02-18,2017-02-08,,410
2017-01-04 - 2019-02-18,2017-02-09,,427
2017-01-04 - 2019-02-18,2017-02-10,,448
2017-01-04 - 2019-02-18,2017-02-11,,470
2017-01-04 - 2019-02-18,2017-02-12,,487
2017-01-04 - 2019-02-18,2017-02-13,,501
2017-01-04 - 2019-02-18,2017-02-14,,529
2017-01-04 - 2019-02-18,2017-02-15,,538
2017-01-04 - 2019-02-18,2017-02-16,,563
2017-01-04 - 2019-02-18,2017-02-17,,579
2017-01-04 - 2019-02-18,2017-02-18,,606
2017-01-04 - 2019-02-18,2017-02-19,,623
2017-01-04 - 2019-02-18,2017-02-20,,642
2017-01-04 - 2019-02-18,2017-02-21,,651
2017-01-04 - 2019-02-18,2017-02-22,,672
2017-01-04 - 2019-02-18,2017-02-23,,685
2017-01-04 - 2019-02-18,2017-02-24,,702
2017-01-04 - 2019-02-18,2017-02-25,,715
2017-01-04 - 2019-02-18,2017-02-26,,729
2017-01-04 - 2019-02-18,2017-02-27,,752
2017-01-04 - 2019-02-18,2017-02-28,,773
2017-01-04 - 2019-02-18,2017-03-01,,799
2017-01-04 - 2019-02-18,2017-03-02,,824
2017-01-04 - 2019-02-18,2017-03-03,,870
2017-01-04 - 2019-02-18,2017-03-04,,917
2017-01-04 - 2019-02-18,2017-03-05,,963
2017-01-04 - 2019-02-18,2017-03-07,,1046
2017-01-04 - 2019-02-18,2017-03-06,,1001
2017-01-04 - 2019-02-18,2017-03-08,,1076
2017-01-04 - 2019-02-18,2017-03-09,,1106
2017-01-04 - 2019-02-18,2017-03-10,,1122
2017-01-04 - 2019-02-18,2017-03-11,,1137
2017-01-04 - 2019-02-18,2017-03-12,,1151
2017-01-04 - 2019-02-18,2017-03-13,,1196
2017-01-04 - 2019-02-18,2017-03-14,,1240
2017-01-04 - 2019-02-18,2017-03-15,,1283
2017-01-04 - 2019-02-18,2017-03-16,,1318
2017-01-04 - 2019-02-18,2017-03-17,,1358
2017-01-04 - 2019-02-18,2017-03-18,,1376
2017-01-04 - 2019-02-18,2017-03-19,,1417
2017-01-04 - 2019-02-18,2017-03-20,,1457
2017-01-04 - 2019-02-18,2017-03-21,,1512
2017-01-04 - 2019-02-18,2017-03-22,,1551
2017-01-04 - 2019-02-18,2017-03-23,,1606
2017-01-04 - 2019-02-18,2017-03-24,,1640
2017-01-04 - 2019-02-18,2017-03-25,,1655
2017-01-04 - 2019-02-18,2017-03-26,,1690
2017-01-04 - 2019-02-18,2017-03-27,,1731
2017-01-04 - 2019-02-18,2017-03-28,,1765
2017-01-04 - 2019-02-18,2017-03-29,,1814
2017-01-04 - 2019-02-18,2017-03-30,,1841
