Fecha,Calificación acumulativa promedio,Notas
2017-09-25,4.38,
2017-09-26,4.38,
2017-09-27,4.38,
2017-09-28,4.38,
2017-09-29,4.38,
2017-09-30,4.38,
2017-10-01,4.38,
2017-10-02,4.31,
2017-10-03,4.31,
2017-10-04,4.31,
2017-10-05,4.31,
2017-10-06,4.31,
2017-10-07,4.31,
2017-10-08,4.31,
2017-10-09,4.31,
2017-10-10,4.31,
2017-10-11,4.31,
2017-10-12,4.31,
2017-10-13,4.31,
2017-10-14,4.31,
2017-10-15,4.31,
2017-10-16,4.31,V1.3
2017-10-17,4.25,
2017-10-18,4.13,
2017-10-19,4.13,
2017-10-20,4.14,
2017-10-21,4.14,
2017-10-22,4.10,
2017-10-23,4.10,
2017-10-24,4.03,
2017-10-25,4.03,
2017-10-26,4.03,
2017-10-27,4.05,
2017-10-28,4.05,
2017-10-29,4.05,
2017-10-30,4.05,
2017-10-31,4.05,
2017-11-01,4.05,
2017-11-02,4.05,
2017-11-03,4.00,
2017-11-04,4.00,
2017-11-05,3.98,
2017-11-06,4.00,
2017-11-07,4.00,
2017-11-08,4.00,
2017-11-09,3.98,V1.3.1
2017-11-10,3.98,
2017-11-11,3.94,
2017-11-12,3.94,
2017-11-13,3.94,
2017-11-14,3.94,
2017-11-15,3.94,
2017-11-16,3.94,
2017-11-17,3.94,
2017-11-18,3.94,V1.4
2017-11-19,3.94,
2017-11-20,3.94,
2017-11-21,3.94,
2017-11-22,3.94,
2017-11-23,3.94,
2017-11-24,3.94,
2017-11-25,3.94,
2017-11-26,3.94,
2017-11-27,3.94,
2017-11-28,3.94,
2017-11-29,3.94,
2017-11-30,3.94,
2017-12-01,3.94,
2017-12-02,3.94,
2017-12-03,3.94,
2017-12-04,3.94,
2017-12-05,3.94,
2017-12-06,3.97,
2017-12-07,3.97,
2017-12-08,3.97,
2017-12-09,3.97,
2017-12-10,3.97,
2017-12-11,3.97,
2017-12-12,3.97,
2017-12-13,3.98,
2017-12-14,3.98,
2017-12-15,3.98,
2017-12-16,3.98,
2017-12-17,3.98,
2017-12-18,3.98,
2017-12-19,3.98,
2017-12-20,3.98,
2017-12-21,3.98,
2017-12-22,4.00,
2017-12-23,4.00,
2017-12-24,4.00,
2017-12-25,4.00,
2017-12-26,4.01,
2017-12-27,4.03,
2017-12-28,4.03,
2017-12-29,4.03,
2017-12-30,4.03,
2017-12-31,4.03,
2018-01-01,4.03,
2018-01-02,4.03,
2018-01-03,4.03,
2018-01-04,4.03,
2018-01-05,4.03,
2018-01-06,4.03,
2018-01-07,4.03,
2018-01-08,4.03,
2018-01-09,4.03,
2018-01-10,3.99,
2018-01-11,3.99,
2018-01-12,3.99,
2018-01-13,3.99,
2018-01-14,3.99,
2018-01-15,3.99,
2018-01-16,3.99,
2018-01-17,3.99,
2018-01-18,3.99,
2018-01-19,4.00,
2018-01-20,4.00,
2018-01-21,4.01,
2018-01-22,4.01,
2018-01-23,4.01,
2018-01-24,4.01,
2018-01-25,4.01,
2018-01-26,4.01,
2018-01-27,4.01,
2018-01-28,4.01,
2018-01-29,4.01,
2018-01-30,4.01,
2018-01-31,4.03,
2018-02-01,4.03,
2018-02-02,4.03,
2018-02-03,4.03,
2018-02-04,4.03,
2018-02-05,4.03,
2018-02-06,4.03,
2018-02-07,4.03,
2018-02-08,4.03,
2018-02-09,4.01,
2018-02-10,4.01,
2018-02-11,4.03,
2018-02-12,4.03,
2018-02-13,4.03,
2018-02-14,4.04,
2018-02-15,4.04,
2018-02-16,4.04,
2018-02-17,4.04,
2018-02-18,4.04,
2018-02-19,4.05,
2018-02-20,4.05,
2018-02-21,4.05,
2018-02-22,4.05,
2018-02-23,4.05,
2018-02-24,4.04,
2018-02-25,4.04,
2018-02-26,4.04,V1.4.1
2018-02-27,4.04,
2018-02-28,4.03,
2018-03-01,4.03,
2018-03-02,4.03,
2018-03-03,4.03,
2018-03-04,4.03,
2018-03-05,4.04,
2018-03-06,4.04,
2018-03-07,4.04,
2018-03-08,4.04,
2018-03-09,4.04,
2018-03-10,4.04,
2018-03-11,4.04,
2018-03-12,4.04,
2018-03-13,4.04,
2018-03-14,4.04,
2018-03-15,4.04,
2018-03-16,4.04,
2018-03-17,4.04,
2018-03-18,4.05,
2018-03-19,4.05,
2018-03-20,4.06,
2018-03-21,4.06,
2018-03-22,4.06,
2018-03-23,4.06,
2018-03-24,4.06,
2018-03-25,4.06,
2018-03-26,4.06,
2018-03-27,4.06,
2018-03-28,4.06,
2018-03-29,4.06,
2018-03-30,4.06,
2018-03-31,4.06,
2018-04-01,4.06,
2018-04-02,4.06,
2018-04-03,4.06,
2018-04-04,4.06,
2018-04-05,4.06,
2018-04-06,4.06,
2018-04-07,4.06,
2018-04-08,4.06,
2018-04-09,4.06,
2018-04-10,4.07,
2018-04-11,4.07,
2018-04-12,4.07,
